Wall time,Step,Value
1574317335.8841808,0,1.8575361967086792
1574318063.311893,1,1.355812430381775
1574318784.276491,2,1.1474555730819702
1574319502.08977,3,1.118815541267395
1574320227.5829425,4,1.1092864274978638
1574320967.124633,5,1.105068564414978
1574321694.6750798,6,1.101858139038086
1574322441.2759247,7,1.0995051860809326
1574323175.2264307,8,1.0986990928649902
1574323895.6719217,9,1.0970593690872192
1574324614.4346583,10,1.095596194267273
1574325336.7083604,11,1.0949015617370605
1574326071.2290673,12,1.0942503213882446
1574326793.8098037,13,1.0935044288635254
1574327526.27065,14,1.0928127765655518
1574328242.6062238,15,1.091976284980774
1574328964.2707262,16,1.0915113687515259
1574329679.0349634,17,1.0908225774765015
1574330401.6470697,18,1.0902540683746338
1574331118.06506,19,1.0898789167404175
1574331846.9596791,20,1.0892701148986816
1574332561.0938864,21,1.088909387588501
1574333299.486766,22,1.0881977081298828
1574334021.6699028,23,1.0873974561691284
1574334743.1276877,24,1.0868339538574219
1574335485.421438,25,1.0863432884216309
