Wall time,Step,Value
1574317335.8844109,0,1.5647621154785156
1574318063.312067,1,1.7938932180404663
1574318784.2766514,2,1.7782200574874878
1574319502.0899227,3,1.7769005298614502
1574320227.5831,4,1.7777220010757446
1574320967.124786,5,1.7779266834259033
1574321694.6751924,6,1.7787138223648071
1574322441.2760966,7,1.7798675298690796
1574323175.2266014,8,1.7800779342651367
1574323895.6720858,9,1.7810146808624268
1574324614.4348035,10,1.7816903591156006
1574325336.7085056,11,1.7821104526519775
1574326071.2292113,12,1.7822723388671875
1574326793.809958,13,1.7825883626937866
1574327526.2708035,14,1.7832233905792236
1574328242.6063757,15,1.7835396528244019
1574328964.270873,16,1.784616231918335
1574329679.0351186,17,1.7846084833145142
1574330401.6471877,18,1.784772276878357
1574331118.0652146,19,1.7850525379180908
1574331846.9598303,20,1.7858545780181885
1574332561.0940332,21,1.7858293056488037
1574333299.4869099,22,1.7864898443222046
1574334021.6700485,23,1.7870959043502808
1574334743.1278408,24,1.7870019674301147
1574335485.421619,25,1.7875548601150513
